numero,descripcion,codigo,cantidad,modelos,observaciones,archivo_origen
1,"Aislante","AL81949",4,"6615","","ST350411.md"
2,"Arandela","T62323",4,"6615","","ST350411.md"
3,"Espárrago","L155927",2,"6615","","ST350411.md"
4,"Tornillo","19M7364",2,"6615","M12 X 80","ST350411.md"
5,"Tuerca de seguridad","14M7319",2,"6615","M12","ST350411.md"
6,"Retenedor redondo","L156986",4,"6615","","ST350411.md"
7,"Ángulo","AL154541",2,"6615","","ST350411.md"
8,"Tornillo","19M7496",4,"6615","M12 X 45","ST350411.md"
1,"Filtro","DQ72620",1,"6415, 6615","","ST350426.md"
2,"Filtro de combustible","DQ24057",1,"6415, 6615","","ST350426.md"
3,"Taza","DQ39530",1,"6415, 6615","","ST350426.md"
4,"Tapón","DQ72612",1,"6415, 6615","","ST350426.md"
5,"Posrefrigerador",".......",1,"6415, 6615","(ORD DQ72620)","ST350426.md"
6,"Tapón","DQ25143",1,"6415, 6615","","ST350426.md"
7,"Tapón roscado","DQ32910",1,"6415, 6615","","ST350426.md"
8,"Tornillo","19M7167",2,"6415, 6615","M10 X 25","ST350426.md"
9,"Arandela","24M7040",2,"6415, 6615","11 X 20 X 2 mm","ST350426.md"
10,"Arandela de seguridad","12M7066",2,"6415, 6615","10 mm","ST350426.md"
11,"Tuerca","14M7140",2,"6415, 6615","M10","ST350426.md"
1,"Abrazadera para mangueras","AL150169",1,"6415, 6615","","ST350433.md"
2,"Manguera","L211695",1,"6415","(SUB FOR L202660 OR L158225)","ST350433.md"
3,"Manguera","L158227",1,"6615","","ST350433.md"
4,"Abrazadera","AL112933",1,"6415, 6615","","ST350433.md"
1,"Tornillo","19M7793",4,"6415, 6615","M16 X 40","ST350784.md"
2,"Soporte","AL118341",1,"6415","RH","ST350784.md"
3,"Soporte","AL111449",1,"6615","","ST350784.md"
4,"Soporte","AL118342",1,"6415","LH","ST350784.md"
5,"Soporte","AL111451",1,"6615","","ST350784.md"
1,"Espárrago","L155927",2,"6415","","ST350785.md"
2,"Arandela","T62323",4,"6415","","ST350785.md"
3,"Aislante","AL161468",4,"6415","","ST350785.md"
4,"Retenedor redondo","L156986",4,"6415","","ST350785.md"
5,"Ángulo","AL154541",2,"6415","","ST350785.md"
6,"Tuerca de seguridad","14M7319",2,"6415","M12","ST350785.md"
7,"Tornillo","19M7303",4,"6415","M12 X 45","ST350785.md"
8,"Tornillo","19M7364",2,"6415","M12 X 80","ST350785.md"
1,"Tornillo","19M7166",2,"6415, 6615","M10 X 20","ST350787.md"
2,"Ángulo","L111120",1,"6415, 6615","","ST350787.md"
3,"Tornillo","19M7408",2,"6415, 6615","M10 X 90","ST350787.md"
4,"Tornillo","19M7268",2,"6415, 6615","M12 X 25","ST350787.md"
5,"Retenedor","L111857",1,"6415, 6615","","ST350787.md"
6,"Soporte","L111294",1,"6415, 6615","","ST350787.md"
7,"Tornillo","19M7168",4,"6415, 6615","M10 X 30","ST350787.md"
8,"Rodamiento de bolas","JD10058",1,"6415, 6615","","ST350787.md"
9,"Anillo elástico","40M1863",1,"6415, 6615","","ST350787.md"
10,"Cubo","L110777",1,"6415, 6615","","ST350787.md"
11,"Espárrago","42M7058",1,"6415, 6615","","ST350787.md"
1,"Tensor","AL156090",1,"6415, 6615","","ST350788.md"
2,"Rueda loca","AL157593",1,"6415, 6615","","ST350788.md"
3,"Tornillo","L112545",1,"6415, 6615","M10 X 28","ST350788.md"
4,"Tapa","L154170",1,"6415, 6615","","ST350788.md"
5,"Tornillo","19M7835",3,"6415, 6615","M10 X 35","ST350788.md"
1,"Espárrago","42M7058",4,"6415, 6615","","ST350789.md"
2,"Polea","R128661",1,"6415, 6615","OD = 183.5 mm, Sin cabina","ST350789.md"
3,"Polea","R128660",1,"6415, 6615","OD = 168 mm, Con cabina","ST350789.md"
4,"Ventilador","L79028",1,"6415, 6615","","ST350789.md"
5,"Espaciador","L205139",1,"6415","SUB FOR L159010","ST350789.md"
6,"Espaciador","L205138",1,"6615","SUB FOR CQ43567","ST350789.md"
7,"Tuerca","14M7274",4,"6415, 6615","M10","ST350789.md"
8,"Tornillo","L154687",6,"6415, 6615","","ST350789.md"
1,"Correa trapezoidal","CQ51921",1,"6415, 6615","(SIN CABINA) LGTH= 1910MM","ST350791.md"
2,"Correa plana","CQ58873",1,"6415, 6615","(CON CABINA) LGTH= 2455MM","ST350791.md"
1,"Coraza","L158231",1,"6415","","ST350792.md"
2,"Coraza","L158228",1,"6615","","ST350792.md"
3,"Tornillo","19M7865",4,"6415, 6615","M8 X 16, (SUB FOR 19M7162)","ST350792.md"
4,"Arandela","24M7055",4,"6415","8.400 X 16 X 1.600 mm","ST350792.md"
5,"Manguera","L166315",1,"6415","","ST350792.md"
6,"Manguera","L166316",1,"6615","","ST350792.md"
7,"Abrazadera para mangueras","TY22465",2,"6415, 6615","SUB FOR AR21837","ST350792.md"
8,"Manguera","L158232",1,"6415","","ST350792.md"
9,"Manguera","L158230",1,"6615","","ST350792.md"
10,"Manguera","L156969",1,"6415, 6615","","ST350792.md"
11,"Banda de guarnición","L158289",1,"6415, 6615","","ST350792.md"
12,"Cabeza del radiador","AL203689",1,"6415, 6615","(SUB FOR AL162689)","ST350792.md"
13,"Radiador","AL162692",1,"6415","","ST350792.md"
14,"Radiador","AL162690",1,"6615","","ST350792.md"
15,"Manguera","L158229",1,"6415, 6615","","ST350792.md"
16,"Abrazadera","AL37489",2,"6415, 6615","","ST350792.md"
17,"Ángulo","L158251",2,"6415, 6615","","ST350792.md"
18,"Abrazadera para mangueras","MN10393",4,"6415, 6615","","ST350792.md"
19,"Arandela","24M7139",4,"6415, 6615","6.400 X 18 X 1.600 mm","ST350792.md"
20,"Tornillo","19M7560",4,"6415, 6615","M6 X 16","ST350792.md"
21,"Tornillo de mariposa","L79057",4,"6415, 6615","","ST350792.md"
22,"Aislante","L78871",4,"6415, 6615","","ST350792.md"
23,"Manguera","L168269",1,"6415","","ST350792.md"
24,"Manguera","L114595",1,"6615","","ST350792.md"
25,"Manguito de radiador","L169329",1,"6615","","ST350792.md"
26,"Aislante","L158241",2,"6415, 6615","","ST350792.md"
27,"Tapadera","AL162698",1,"6415, 6615","","ST350792.md"
28,"Tuerca","14M7136",2,"6415, 6615","M6","ST350792.md"
29,"Apoyo","L158252",1,"6415, 6615","","ST350792.md"
30,"Aislante","L158306",2,"6415, 6615","","ST350792.md"
31,"Aislante","CQ62312",1,"6415, 6615","","ST350792.md"
32,"Radiador","AL201723",1,"6415","","ST350792.md"
33,"Radiador","AL201725",1,"6615","","ST350792.md"
34,"Abrazadera","CQ28556",1,"6415, 6615","","ST350792.md"
1,"Tornillo","19M7162",4,"6415","M8 X 16","ST350793.md"
2,"Arandela","24M7055",1,"6415","8.400 X 16 X 1.600 mm","ST350793.md"
3,"Banda de guarnición","L159013",1,"6415","","ST350793.md"
4,"Soporte","L168286",1,"6415","","ST350793.md"
5,"Banda de guarnición","L165282",1,"6415","","ST350793.md"
6,"Tuerca","14M7272",8,"6415","M6","ST350793.md"
7,"Arandela","24M7088",8,"6415","6.600 X 12 X 1.600 mm","ST350793.md"
8,"Tornillo","19M7077",8,"6415","M6 X 20","ST350793.md"
9,"Tornillo","19M7139",4,"6415","M8 X 20","ST350793.md"
10,"Tuerca","14M7029",4,"6415","M8","ST350793.md"
11,"Soporte","L158250",1,"6415","","ST350793.md"
12,"Tornillo","19M7297",4,"6415","M8 X 12","ST350793.md"
13,"Refrigerador de aceite","AL162700",1,"6415","(ORD AL172765, AL168815, AL163684, (2) DQ52819, (2) Z35271)","ST350793.md"
1,"Tornillo","19M7162",1,"6615","M8 X 16","ST350794.md"
2,"Arandela","24M7055",1,"6615","8.400 X 16 X 1.600 mm","ST350794.md"
3,"Soporte","L158239",1,"6615","","ST350794.md"
4,"Banda de guarnición","L158235",1,"6615","","ST350794.md"
5,"Tuerca","14M7272",1,"6615","M6","ST350794.md"
6,"Arandela","24M7088",1,"6615","6.600 X 12 X 1.600 mm","ST350794.md"
7,"Tornillo","19M7077",1,"6615","M6 X 20","ST350794.md"
8,"Refrigerador de aceite","AL163685",1,"6615","ORDER AL163684, AL168815, AL172765, DQ52819, Z35271 AND 19M7297","ST350794.md"
9,"Tornillo","19M7297",4,"6615","M8 X 12","ST350794.md"
10,"Soporte","L158249",1,"6615","","ST350794.md"
11,"Tuerca","14M7029",4,"6615","M8","ST350794.md"
12,"Tornillo","19M7139",4,"6615","M8 X 20","ST350794.md"
13,"Refrigerador de aceite","AL172765",1,"6415","","ST350794.md"
14,"Malla","DQ52819",2,"6415","USE WITH AL172765","ST350794.md"
15,"Casquillo","Z35271",2,"6415","USE WITH AL172765","ST350794.md"
16,"Malla","AL163684",1,"6415","USE WITH AL172765","ST350794.md"
17,"Soporte","AL168815",1,"6415","USE WITH AL172765","ST350794.md"
18,"Tornillo","19M7297",4,"6415","M8 X 12","ST350794.md"
1,"Tornillo","19M7866",8,"6415, 6615","M8 X 20, (SUB FOR 19M7162)","ST350795.md"
2,"Tuerca","14M7029",4,"6615","M8","ST350795.md"
3,"Tuerca","14M7029",4,"6415","M8","ST350795.md"
4,"Soporte","L158239",1,"6615","","ST350795.md"
5,"Soporte","L168286",1,"6415","","ST350795.md"
6,"Banda de guarnición","L158235",1,"6615","","ST350795.md"
7,"Banda de guarnición","L165282",1,"6415","","ST350795.md"
8,"Tuerca","14M7272",1,"6615","M6","ST350795.md"
9,"Tuerca","14M7272",1,"6415","M6","ST350795.md"
10,"Arandela","24M7088",1,"6615","6.600 X 12 X 1.600 mm","ST350795.md"
11,"Arandela","24M7088",1,"6415","6.600 X 12 X 1.600 mm","ST350795.md"
12,"Tornillo","19M7077",1,"6615","M6 X 20","ST350795.md"
13,"Tornillo","19M7077",1,"6415","M6 X 20","ST350795.md"
14,"Banda de guarnición","L159013",1,"6415","","ST350795.md"
15,"Refrigerador de aceite","AL172766",1,"6615","","ST350795.md"
16,"Refrigerador de aceite","AL172765",1,"6415","","ST350795.md"
17,"Casquillo","Z35271",2,"6615","","ST350795.md"
18,"Casquillo","Z35271",2,"6415","","ST350795.md"
19,"Malla","DQ52819",1,"6615","","ST350795.md"
20,"Malla","AL163684",1,"6415","","ST350795.md"
21,"Malla","DQ52819",2,"6615","","ST350795.md"
22,"Malla","DQ52819",2,"6415","","ST350795.md"
23,"Tornillo","19M7864",2,"6415, 6615","M8 X 12, (SUB FOR 19M7297)","ST350795.md"
24,"Soporte","AL168815",1,"6415","","ST350795.md"
25,"Soporte","AL162696",1,"6615","","ST350795.md"
1,"Refrigerador de aceite","AL168814",1,"6415","","ST350797.md"
2,"Radiador","AL164837",1,"6615","","ST350797.md"
3,"Malla","DQ52819",2,"6415, 6615","","ST350797.md"
4,"Malla","DQ52819",1,"6615","","ST350797.md"
5,"Malla","AL163684",1,"6415","","ST350797.md"
6,"Soporte","AL162696",1,"6615","","ST350797.md"
7,"Apoyo","AL168815",1,"6415","","ST350797.md"
8,"Casquillo","Z35271",2,"6415, 6615","","ST350797.md"
9,"Tornillo","19M7866",4,"6415, 6615","M8 X 20, (SUB FOR 19M7139)","ST350797.md"
10,"Tornillo","19M7865",1,"6415, 6615","M8 X 16, (SUB FOR 19M7162)","ST350797.md"
11,"Tuerca","14M7029",4,"6415, 6615","M8","ST350797.md"
12,"Tornillo","19M7864",2,"6415, 6615","M8 X 12, (SUB FOR 19M7297)","ST350797.md"
13,"Soporte","L168286",1,"6415","","ST350797.md"
14,"Banda de guarnición","L159013",1,"6415","","ST350797.md"
15,"Banda de guarnición","L165281",1,"6415","","ST350797.md"
16,"Soporte","L158239",1,"6615","","ST350797.md"
17,"Banda de guarnición","L158240",1,"6615","","ST350797.md"
18,"Tornillo","19M7077",1,"6615","M6 X 20","ST350797.md"
19,"Arandela","24M7088",1,"6415, 6615","6.600 X 12 X 1.600 mm","ST350797.md"
20,"Tuerca","14M7272",1,"6415, 6615","M6","ST350797.md"
1,"Racor adaptador","38H5005",1,"6415, 6615","","ST350798.md"
2,"Anillo tórico","51M7047",2,"6415, 6615","23.600 X 2.900 mm","ST350798.md"
3,"Anillo tórico","T77858",2,"6415, 6615","","ST350798.md"
4,"Manguera hidráulica","AL164935",1,"6415","","ST350798.md"
5,"Manguera hidráulica","AL164933",1,"6615","","ST350798.md"
6,"Manguera hidráulica","AL164934",1,"6415","(SIN CABINA)","ST350798.md"
7,"Manguera","AL168817",1,"6415","(CON CABINA)","ST350798.md"
8,"Manguera hidráulica","AL164932",1,"6615","","ST350798.md"
9,"Soporte de manguera","L169208",1,"6415","","ST350798.md"
10,"Soporte de manguera","AL171782",1,"6615","","ST350798.md"
11,"Abrazadera","L159016",1,"6415, 6615","","ST350798.md"
12,"Tornillo","19M7166",1,"6615","M10 X 20","ST350798.md"
13,"Tornillo","19M7169",1,"6415","M10 X 35","ST350798.md"
14,"Arandela","24M7028",1,"6415, 6615","10.500 X 20 X 2 mm","ST350798.md"
15,"Tuerca","14M7140",1,"6415, 6615","M10","ST350798.md"
16,"Arandela","24M7026",1,"6415, 6615","9 X 17 X 1.600 mm","ST350798.md"
17,"Tuerca","14M7029",1,"6415, 6615","M8","ST350798.md"
18,"Arandela","Z20701",1,"6615","","ST350798.md"
19,"Racor acodado","38H5019",1,"6415, 6615","","ST350798.md"
20,"Ángulo","L159011",1,"6615","","ST350798.md"
21,"Tornillo","19M7169",1,"6415","M10 X 35","ST350798.md"
22,"Tornillo","19M7166",1,"6615","M10 X 20","ST350798.md"
23,"Tornillo","19M7984",1,"6415, 6615","M10 X 12","ST350798.md"
1,"Racor adaptador","38H5005",2,"6415, 6615","","ST350799.md"
2,"Anillo tórico","51M7047",2,"6415, 6615","23.600 X 2.900 mm","ST350799.md"
3,"Anillo tórico","T77858",2,"6415, 6615","","ST350799.md"
4,"Manguera hidráulica","AL164931",1,"6415","","ST350799.md"
5,"Manguera hidráulica","AL164927",1,"6615","","ST350799.md"
6,"Manguera hidráulica","DQ64100",1,"6415","(CON TRANSMISION LENTA)","ST350799.md"
7,"Manguera hidráulica","AL164930",1,"6415","(SIN CABINA)","ST350799.md"
8,"Manguera","AL168816",1,"6415","(CON CABINA)","ST350799.md"
9,"Manguera hidráulica","AL164928",1,"6615","","ST350799.md"
10,"Manguera hidráulica","DQ64099",1,"6415","(CON TRANSMISION LENTA)","ST350799.md"
11,"Soporte de manguera","L169208",1,"6415","","ST350799.md"
12,"Soporte de manguera","AL171782",1,"6615","","ST350799.md"
13,"Abrazadera","L159016",1,"6415, 6615","","ST350799.md"
14,"Tornillo","19M7166",1,"6415, 6615","M10 X 20","ST350799.md"
15,"Tornillo","19M7167",1,"6415, 6615","M10 X 25","ST350799.md"
16,"Arandela","24M7028",1,"6415, 6615","10.500 X 20 X 2 mm","ST350799.md"
17,"Tuerca","14M7140",1,"6415, 6615","M10","ST350799.md"
18,"Arandela","24M7026",1,"6415, 6615","9 X 17 X 1.600 mm","ST350799.md"
19,"Tuerca","14M7029",1,"6415, 6615","M8","ST350799.md"
20,"Arandela","Z20701",1,"6615","","ST350799.md"
21,"Tornillo","19M7169",1,"6415","M10 X 35","ST350799.md"
22,"Tornillo","19M7166",1,"6615","M10 X 20","ST350799.md"
23,"Tornillo","19M7984",1,"6415, 6615","M10 X 12","ST350799.md"
24,"Casquillo","28H3394",1,"6415","0.493"" X 0.675"" X 1/2""","ST350799.md"
1,"Conexión","L155376",1,"6415, 6615","","ST350800.md"
2,"Abrazadera","AL212942",2,"6415, 6615","","ST350800.md"
3,"Anillo tórico","51M7043",2,"6415, 6615","15.300 X 2.200 mm","ST350800.md"
4,"Conexión","AL116423",1,"6415, 6615","","ST350800.md"
5,"Manguera","CQ43598",1,"6415, 6615","Retorno","ST350800.md"
6,"Manguera","CQ52174",1,"6415, 6615","LGTH = 2590 mm, Alimentación ORDER L226505","ST350800.md"
7,"Manguera","L226505",1,"N/A","LGTH = 2250 mm","ST350800.md"
8,"Protección de manguera","L114339",1,"6415, 6615","LGTH = 150 mm","ST350800.md"
9,"Aislante","L204336",1,"6415, 6615","LGTH = 120 mm","ST350800.md"
10,"Protección de manguera","L174214",1,"N/A","LGTH = 200 mm","ST350800.md"
11,"Cinta de atar","L41858",2,"N/A","","ST350800.md"
1,"Abrazadera","DQ39225",1,"6415","FRONT (SUB FOR AL82337,DQ39225) APPL","ST350801.md"
2,"Abrazadera","DQ25990",1,"6615","","ST350801.md"
